Usuario;Coorporativa;soyvaldiviacl;latercera;elmostrador
LuisArane2;0.251623;0.233766;0.292208;0.222403
Jackson65509971;1;0;0;0
Angel77865380;0.294643;0.223214;0.241071;0.241071
Daniza14975747;0.242347;0.303571;0.193878;0.260204
maicolpalomin11;0.209707;0.259158;0.234432;0.296703
Gataconstituci1;0;0;0;1
Francis53916571;0;0;0.5;0.5
caroherreo;0.22619;0.252976;0.22619;0.294643
MariaEs67438550;0;1;0;0
Alexrey14533642;0;1;0;0
OROAZUL14;0;1;0;0
yeseniaarancib6;0.277778;0.166667;0.277778;0.277778
AEcosofia;0.5;0;0;0.5
jfgallard;0.21875;0.21875;0.28125;0.28125
ActualidadSobre;0.5;0;0;0.5
mariapazVEGADI1;0.267857;0.196429;0.267857;0.267857
samuelpoblete15;0;0.325;0;0.675
miguela98570288;0.264286;0.228571;0.3;0.207143
Benjami97542989;0.25;0.25;0.21875;0.28125
pepe_trueno_777;0.257143;0.3;0.210714;0.232143
BaranaoRene;0.182143;0.248214;0.301339;0.268304
Maricel34638516;0;0;1;0
Jaimealvarezco2;0;1;0;0
MarioRa28628755;0.195089;0.268304;0.235268;0.301339
Benjamn07173619;0;0;1;0
AdolfoAlvarezCr;0.283613;0.302521;0.130252;0.283613
mondaca_orlando;0.3;0.207143;0.264286;0.228571
ClauGvm;0.229286;0.308571;0.210714;0.251429
digonvi;0;1;0;0
RodrigoHevia9;0;0;1;0
martin26959731;0.27551;0.173469;0.27551;0.27551
mono_rmq;0;0;1;0
herbert_garcia_;1;0;0;0
SergioE87523044;0.294643;0.25;0.205357;0.25
PODOPALUC;0.28125;0.241071;0.28125;0.196429
AliciaG84833313;0.301339;0.232887;0.198661;0.267113
Pekes_Party;0.282143;0.226786;0.185714;0.305357
DiegoVe21340903;0.28125;0.301339;0.164435;0.252976
elpipebulla;0.224702;0.301339;0.212798;0.261161
Sebasti83801979;0.25;0;0;0.75
Mangusmorrin;1;0;0;0
YasnaSantibanez;0.221429;0.303571;0.228571;0.246429
claudio66938721;0.296296;0.222222;0.296296;0.185185
AlpacasUach;0;0.771429;0.228571;0
JesusCo21814605;0.309066;0.287587;0.201673;0.201673
KoteSiita;0.205102;0.282653;0.298469;0.213776
Luciano90355435;0.21015;0.251128;0.234211;0.304511
arodriguezguar1;1;0;0;0
IvonneSegura18;0;1;0;0
MuguiG;1;0;0;0
fasp2711;0.229412;0.302521;0.252941;0.215126
NoraNor50215532;0;1;0;0
ErichGuital;0;0.25;0;0.75
